揹包	背包
自定义Boss栏%s在当下在线的%s名玩家有：%s	自訂 Boss 狀態條 %s 現在有 %s 位玩家：%s
无变化，这些玩家已经在Boss栏上，没有玩家需要被添加或移除	未進行任何變更。這些玩家已經在此 Boss 狀態條中，無法加入或移除
已改变自定义Boss栏%s的样式	已變更自訂 Boss 狀態條 %s 的樣式
无变化，这本就是这个Boss栏的样式	未進行任何變更。此 Boss 狀態條已經是該樣式
自定义Boss栏%s的值已改为%s	已將自訂 Boss 狀態條 %s 的數值更改為 %s
无变化，这本就是这个Boss栏的值	未進行任何變更。此 Boss 狀態條已經是該數值
无变化，该Boss栏原已隐藏	未進行任何變更。此 Boss 狀態條已被隱藏
无变化，该Boss栏原已可见	未進行任何變更。此 Boss 狀態條已設為可見
已将自定义Boss栏%s改为隐藏	已將自訂 Boss 狀態條 %s 設為隱藏
已将自定义Boss栏%s改为可见	已將自訂 Boss 狀態條 %s 設為可見
不存在ID为“%s”的Boss栏	ID 為 '%s' 的 Boss 狀態條不存在
已移除%2$s名玩家的%1$s个物品	已移除 %2$s 個玩家的 %1$s 個物品
已移除玩家%2$s的%1$s个物品	已移除玩家 %2$s 的 %1$s 個物品
已在%2$s名玩家身上找到%1$s个匹配的物品	在 %2$s 個玩家身上找到 %1$s 個相符的物品
已在玩家%2$s身上找到%1$s个匹配的物品	在玩家 %2$s 身上找到 %1$s 個相符的物品
未复制任何方块	未複製任何方塊
源区域和目标区域不能重叠	來源與目的區域不可重疊
已成功复制%s个方块	已成功複製 %s 個方塊
指定区域内的方块太多（最大值为%s，指定值为%s）	指定區域內的方塊太多（指定 %2$s 但最大值為 %1$s）
对象免疫指定的伤害类型	目標對指定的傷害類型免疫
已将%s伤害施加于%s	已將 %s 傷害套用至 %s
位于%2$s, %3$s, %4$s的方块的%1$s乘以%5$s倍率后的值为%6$s	位於 %2$s, %3$s, %4$s 方塊上的 %1$s 乘上 %5$s 的倍率後為 %6$s
目标方块不是方块实体	指定的方塊並非方塊實體
已修改%s, %s, %s处的方块数据	已修改位於 %s, %s, %s 的方塊資料
%s, %s, %s拥有以下方块数据：%s	%s, %s, %s 擁有以下方塊資料：%s
%2$s的%1$s在乘以倍率%3$s后的值是%4$s	%2$s 上的 %1$s 乘上 %3$s 的倍率後為 %4$s
无法修改玩家数据	無法修改玩家資料
已修改%s的实体数据	已修改 %s 的實體資料
%s拥有以下实体数据：%s	%s 擁有以下實體資料：%s
无法获取%s，只接受数字标签	無法取得 %s，只允許數字類型標籤
该参数只接受单个NBT值	此引數接受單一的 NBT 數值
无法获取%s，标签不存在	無法取得 %s，標籤不存在
无变化，所指定的属性已有这些值	未進行任何變更。指定的屬性已經是該值
应为列表，实际为：%s	應為串列，當前值：%s
应为对象，实际为：%s	應為物件，當前值：%s
应为值，实际为：%s	應為值，當前值：%s
无效的列表索引：%s	無效的串列索引：%s
无效的子串索引：%s到%s	無效的子字串索引：%s 至 %s
在存储%2$s中的%1$s在乘以倍率%3$s后的值是%4$s	儲存於 %2$s 中的 %1$s 乘上 %3$s 的倍率後為 %4$s
已修改存储%s	已修改容器 %s
存储%s含有以下内容：%s	容器 %s 擁有下列內容物：%s
名为“%s”的包已经存在	名為 '%s' 的資料包已經存在
无效的新包名“%s”	無效的新資料包名稱 '%s'
新包名“%s”中包含无效字符	新資料包名稱 '%s' 中含有無效字元
无法创建名称为“%s”的包，请检查日志	無法建立名為 '%s' 的資料包，請查看記錄檔
无法编码名称为“%s”的包的元数据：%s	無法編碼資料包 '%s' 的中繼資料：%s
已创建名为“%s”的空包	已建立名為 '%s' 的空資料包
数据包“%s”并未启用！	資料包 '%s' 未啟用！
无法禁用数据包“%s”，因为它属于已启用功能！	無法停用資料包 '%s'，因為它屬於已啟用的功能！
数据包“%s”已经启用！	資料包 '%s' 已經啟用！
无法启用数据包“%s”，因为所需的功能未在此世界启用：%s！	無法啟用資料包 '%s'，因為所需的功能並未在這個世界中啟用：%s！
已无更多可用的数据包	沒有可用的資料包
共有%s个数据包可用：%s	有 %s 個可用的資料包： %s
没有启用中的数据包	沒有啟用的資料包
已启用%s个数据包：%s	有 %s 個啟用的資料包：%s
正在禁用数据包%s	正在停用資料包 %s
正在启用数据包%s	正在啟用資料包 %s
未知的数据包 “%s”	未知的資料包 '%s'
刻分析器原已开启	刻點分析器已在執行中
无法从函数内部开始追踪	無法從函數內部開始追蹤
使用/return run时无法追踪	追蹤無法與 /return run 同時使用
已追踪%2$s个函数内的%1$s条命令至输出文件%3$s	從 %2$s 個函數追蹤到的 %1$s 個指令輸出至檔案 %3$s
已追踪函数“%2$s”内的%1$s条命令至输出文件%3$s	已從函數 '%2$s' 追蹤到的 %1$s 個指令輸出至檔案 %3$s
追踪函数失败	函數追蹤失敗
尚未启动刻分析器	刻點分析器未啟動
已开始刻分析	開始刻點分析
已停止刻分析，用时%s秒和%s刻（每秒%s刻）	已停止刻點分析，共耗時 %s 秒和 %s 刻（每秒 %s 刻）
默认游戏模式现在为%s	這個世界的預設遊戲模式目前為 %s
无变化，此玩家不是管理员	未進行任何變更。該玩家不是管理員
%s不再是服务器管理员了	已將 %s 從伺服器管理員中除名
已清除%s名玩家的对话框	已清除 %s 個玩家的對話框
已清除%s的对话框	已清除 %s 的對話框
已将对话框展示给%s名玩家	已將對話框顯示給 %s 個玩家
已将对话框展示给%s	已將對話框顯示給 %s
难度未变，它原来就是%s	難度沒有改變，它已經被設為 %s
目前难度为%s	目前難易度為 %s
难度已被设置为%s	已將難易度設為 %s
该实体无法持有任何物品	該實體無法持有任何物品
实体%s没有战利品表	實體 %s 沒有戰利品表
方块%s没有战利品表	方塊 %s 沒有戰利品表
掉落了%s个物品	掉落 %s 個物品
从战利品表%2$s中掉落了%1$s个物品	從戰利品表 %2$s 中掉落 %1$s 個物品
掉落了%s个%s	掉落了 %s 個 %s
从战利品表%3$s中掉落了%1$s个%2$s	從戰利品表 %3$s 中掉落了 %1$s 個 %2$s
对象没有可以移除的效果	該對象沒有可以移除的效果
已移除%s个对象的所有效果	已移除 %s 個對象上的所有效果
已移除%s的所有效果	已移除 %s 身上的所有效果
对象没有指定效果	該對象沒有你指定的效果
已移除%2$s个对象的%1$s效果	已移除 %2$s 個對象身上的 %1$s 效果
已移除%2$s的%1$s效果	已移除 %2$s 身上的 %1$s 效果
无法应用此效果（对象对效果免疫，或已有更强的效果）	無法套用這項效果（該對象不受效果影響，或已有其他更強的效果）
已将%s效果应用于%s个对象	已將 %s 效果作用於 %s 個對象
已将%s效果应用于%s	已將 %s 效果作用於 %s
无变化，对象未持有物品或其不支持此魔咒	未進行任何變更。對象手中沒有物品或是無法套用這項附魔
%s不支持此魔咒	該附魔不適用於 %s
%s未手持任何物品	%s 手上沒有任何物品
%s高于该魔咒支持的最高等级%s	%s 高於該附魔所支援的最高等級 %s
已将%s魔咒应用于%s个实体	已將附魔 %s 套用於 %s 個實體
已将%s魔咒应用于%s的物品上	已將附魔 %s 套用於 %s 的物品
测试失败	測試失敗
测试失败，计数：%s	測試失敗，總計：%s
测试通过	測試通過
测试通过，计数：%s	測試通過，總計：%s
无法实例化函数%s：%s	無法具現化函數 %s：%s
已给予%2$s名玩家%1$s级经验	已給予 %2$s 個玩家 %1$s 等經驗等級
已给予%2$s %1$s级经验	已給予 %2$s %1$s 等經驗等級
已给予%2$s名玩家%1$s点经验	已給予 %2$s 個玩家 %1$s 點經驗值
已给予%2$s %1$s点经验	已給予 %2$s %1$s 點經驗值
%s拥有%s级经验	%s 擁有 %s 經驗等級
%s拥有%s点经验	%s 擁有 %s 經驗點
已将%2$s名玩家的经验等级设为%1$s	已將 %2$s 個玩家的經驗等級設定為 %1$s 等
已将%2$s的经验等级设为%1$s	已將 %2$s 的經驗等級設定為 %1$s 等
无法将此玩家的经验值设置为超过现有等级的最大值	無法將經驗點設為高於玩家目前等級的最高經驗點
已将%2$s名玩家的经验值设为%1$s	已將 %2$s 個玩家的經驗值設定為 %1$s
已将%2$s的经验值设为%1$s	已將 %2$s 的經驗值設定為 %1$s
没有方块被填充	未填滿任何方塊
已成功填充%s个方块	已成功填充 %s 個方塊
已在%s, %s, %s与%s, %s, %s之间设置生物群系	已設定自 %s, %s, %s 至 %s, %s, %s 之間的生態域
已在%2$s, %3$s, %4$s与%5$s, %6$s, %7$s之间设置%1$s个生物群系单元	已設定自 %2$s, %3$s, %4$s 至 %5$s, %6$s, %7$s 之間的 %1$s 個生態域單元
指定范围内的方块过多（最大值为%s，指定值为%s）	指定區域內的方塊太多（指定 %2$s 但最大值為 %1$s）
没有被标记为强制加载的区块	沒有區塊被標記為常駐區塊
已将%2$s中的%3$s至%4$s间的%1$s个区块标记为强制加载	已將 %2$s 中 %3$s 到 %4$s 之間的 %1$s 個區塊標記為常駐區塊
在%s中未找到强制加载的区块	從 %s 中未找到常駐區塊
已将%2$s中的区块%1$s标记为强制加载	已將 %2$s 中的區塊 %1$s 標記為常駐區塊
在%2$s内找到%1$s个强制加载的区块：%3$s	從 %2$s 中找到 %1$s 個常駐區塊：%3$s
在%s内找到一个强制加载的区块：%s	從 %s 中找到一個常駐區塊：%s
在%2$s中%1$s内的区块未被标记为强制加载	%2$s 中的區塊 %1$s 未標記為常駐區塊
在%2$s中%1$s内的区块被标记为强制加载	%2$s 中的區塊 %1$s 已標記為常駐區塊
已解除标记%s内所有的强制加载区块	已取消 %s 中的所有常駐區塊標記
没有强制加载的区块被移除	沒有移除任何常駐區塊標記
已将%2$s中的%3$s至%4$s间的%1$s个区块取消强制加载	已將 %2$s 中 %3$s 到 %4$s 之間的 %1$s 個區塊取消常駐區塊標記
已将%2$s中的区块%1$s解除强制加载	已將 %2$s 中的區塊 %1$s 取消常駐區塊標記
指定区域内区块过多（最大值为%s，指定值为%s）	指定區域內的區塊太多（最大值為 %s，指定為 %s）
无效的参数类型：%s，应为Compound类型	無效的引數類型：%s，應為 Compound
函数%1$s缺少传入参数%2$s	函數 %1$s 缺少引數 %2$s
函数%s缺少传入参数	函數 %s 缺少引數
实例化宏%s时：命令“%s”发生错误：%s	在具現化巨集 %s 時：指令 '%s' 導致錯誤：%s
函数%s返回了%s	函數 %s 已回傳 %s
正在运行函数%s	正在執行 %s 函數
无法找到名称为%s的函数	找不到名為 %s 的函數
已执行%2$s个函数中的%1$s条命令	已從 %2$s 個函數執行 %1$s 個指令
执行了%s个函数	已執行 %s 個函數
已执行函数%2$s中的%1$s条命令	已從函數 '%2$s' 執行 %1$s 個指令
函数“%2$s”返回了%1$s	函數 '%2$s' 已回傳 %1$s
已将%s的游戏模式改为%s	已將 %s 的遊戲模式切換為 %s
已将自己的游戏模式设置为%s	已將自己的遊戲模式切換為 %s
游戏规则%s目前为：%s	遊戲規則 %s 目前設為：%s
游戏规则%s已被设为：%s	遊戲規則 %s 現在已設為：%s
最多只能给予%s个%s	無法給予超過 %s 個 %s
已将%s个%s给予%s名玩家	已將 %s 個 %s 給予 %s 個玩家
已将%s个%s给予%s	已將 %s 個 %s 給予 %s
未知的命令或权限不足	未知的指令或權限不足
已用%4$s替换了位于%1$s, %2$s, %3$s的槽位	已用 %4$s 替換位於 %1$s, %2$s, %3$s 的欄位
已用%2$s替换了%1$s个实体的槽位	已用 %2$s 替換 %1$s 個實體上的欄位
已用%2$s替换了%1$s的槽位	已用 %2$s 替換 %1$s 上的欄位
来源没有%s槽位	該來源並沒有 %s 欄位
在来源位置%s, %s, %s上的不是一个容器	來源位置 %s, %s, %s 並非容器
没有对象在%2$s槽位接受了物品%1$s	沒有任何對象的 %2$s 欄位接收到物品 %1$s
没有对象在%s槽位接受了物品	沒有任何對象的 %s 欄位接收到物品
对象没有%s槽位	該對象並無 %s 欄位
在目标位置%s, %s, %s上的不是一个容器	指定的位置 %s, %s, %s 並非容器
无法转储JFR记录：%s	無法傾出 JFR 紀錄：%s
无法开始JFR分析	無法開始 JFR 分析
已开始JFR分析	開始進行 JFR 分析
JFR分析已结束，已转储至%s	已停止 JFR 分析，分析內容已傾出至 %s
无法在局域网游戏中踢出服务器所有者	無法在區網遊戲中踢出伺服器擁有者
无法在离线单人游戏中踢出玩家	無法在離線單人遊戲踢出玩家
已踢出%s：%s	%s 已被踢出：%s
杀死了%s个实体	已消滅 %s 個實體
杀死了%s	已消滅 %s
%s（%s）	%s (%s)
当前共有%s名玩家在线（最大玩家数为%s）：%s	目前有 %s/%s 個玩家在線上：%s
无法在合理距离内找到类型为“%s”的生物群系	無法在合理距離內找到 "%s" 類型的生態域
最近的%s位于%s（%s个方块外）	最接近的 %s 位於 %s（距離 %s 個方塊遠）
无法在合理距离内找到类型为“%s”的兴趣点	無法在合理距離內找到 "%s" 類型的興趣點
没有类型为“%s”的结构	沒有類型為 "%s" 的結構
无法在附近找到类型为“%s”的结构	無法在附近找到類型為 "%s" 的結構
%s悄悄地对你说：%s	%s 悄悄對您說：%s
你悄悄地对%s说：%s	您悄悄對 %s 說：%s
无变化，此玩家已是管理员	未進行任何變更。該玩家已是管理員
已将%s设为服务器管理员	已將 %s 設為伺服器管理員
无变化，该玩家未被封禁	未進行任何變更。該玩家未被封鎖
已解封%s	已解除封鎖 %s
无变化，该IP地址未被封禁	未進行任何變更。該 IP 未被封鎖
无效的IP地址	無效的 IP 位址
已解封IP地址%s	已解除封鎖 IP %s
该粒子无法被任何玩家看见	此粒子效果無法被任何玩家看見
正在显示粒子%s	顯示粒子 %s
性能分析器已在运行	效能分析器已在執行中
性能分析器尚未启动	效能分析器未啟動
生成调试报告失败	無法建立除錯報告
已在%s生成调试报告	已將除錯報告建立於 %s
已开始时长为10秒的性能分析测试（使用“/perf stop”以提前结束）	已啟用持續 10 秒的效能分析測試（使用 '/perf stop' 以提前結束）
已停止性能分析，用时%s秒和%s刻（每秒%s刻）	效能分析已停止，總共耗時 %s 秒和 %s 刻 (%s 刻/秒)
放置地物失败	無法放置該地物
没有类型为“%s”的地物	沒有類型為 "%s" 的地物
已在%2$s, %3$s, %4$s处放置“%1$s”	已於 %2$s, %3$s, %4$s 處放置 "%1$s"
生成拼图失败	無法生成拼圖
没有类型为“%s”的模板池	沒有類型為 "%s" 的模板池
已在%s, %s, %s处生成拼图	已於 %s, %s, %s 處生成拼圖
放置结构失败	無法放置該結構
已在%2$s, %3$s, %4$s处生成结构“%1$s”	已於 %2$s, %3$s, %4$s 處生成結構 "%1$s"
放置模板失败	無法放置該模板
没有ID为“%s”的模板	沒有 ID 為 "%s" 的模板
已在%2$s, %3$s, %4$s处加载模板“%1$s”	已於 %2$s, %3$s, %4$s 處載入模板 "%1$s"
声音过远而无法被听见	此音效太遠無法被聽見
已将声音%s播放给%s名玩家	已將音效 %s 播放給 %s 個玩家
已将声音%s播放给%s	已將音效 %s 播放給 %s
已存在开放于%s端口的多人游戏	主機連接埠 %s 上已經建立了多人遊戲
无法建立本地游戏	無法公開遊戲至區域網
本地游戏已在端口%s上开启	已在 %s 連接埠上發布本機遊戲
多人游戏已在%s端口上开启	多人遊戲已建立於主機連接埠 %s
随机值的范围最大为2147483646	隨機值範圍最大為 2147463646
随机值的范围最小为2	隨機值範圍最小為 2
已重置%s个随机序列	已重設 %s 個隨機序列
已重置随机序列%s	已重設隨機序列 %s
%s掷出了%s（从%s到%s）	%s 擲出了 %s（在 %s 和 %s 之間）
随机值：%s	隨機值：%s
没有新配方被解锁	沒有學到新的配方
已为%2$s名玩家解锁了%1$s条配方	已為 %2$s 個玩家解鎖了 %1$s 條合成配方
已为%2$s解锁了%1$s条配方	已為 %2$s 解鎖了 %1$s 條合成配方
没有可遗忘的配方	沒有可以被遺忘的配方
已剥夺%2$s名玩家的%1$s条配方	已移除 %2$s 個玩家的 %1$s 條合成配方
已剥夺%2$s的%1$s条配方	已移除 %2$s 的 %1$s 條合成配方
重新加载失败，保留原有数据	重新載入失敗，保留原有資料
重新加载中！	重新載入中！
%s已经在骑乘%s	%s 已在騎乘 %s
%s已停止骑乘%s	%s 結束騎乘 %s
玩家无法被骑乘	無法騎乘玩家
%s无法骑乘%s	%s 無法騎乘 %s
无法让实体骑乘自身或其乘客	實體不能騎乘自身或是其乘客
无法骑乘位于不同维度的实体	無法騎乘位於不同維度的實體
%s已开始骑乘%s	%s 開始騎乘 %s
%s未骑乘任何载具	%s 未騎乘任何載具
已旋转%s	已旋轉 %s
已经关闭世界保存	儲存功能已經關閉
已经打开世界保存	儲存功能已經開啟
自动保存已禁用	自動存檔已停用
自动保存已启用	自動存檔已啟用
无法保存游戏（磁盘空间是否足够？）	無法儲存遊戲（有足夠的磁碟空間嗎？）
正在保存游戏（这可能需要一些时间！）	正在儲存遊戲（這可能需要一點時間！）
